,Unnamed: 0.1,Unnamed: 0,Escala,Referêcia,codibge,Anomalia,Município,SIGLA,AREA,Nome,Porcentagem
50,50,50,Mensal,fev./2022,4101408,-56.938423,Apucarana,PR,558.389,Apucarana,-57.0%
51,51,51,Mensal,jan./2022,4101507,-77.97296,Arapongas,PR,382.215,Arapongas,-78.0%
52,52,52,Mensal,mar./2022,4101507,-1.9446508,Arapongas,PR,382.215,Arapongas,-2.0%
53,53,53,Mensal,fev./2022,4101507,-54.638992,Arapongas,PR,382.215,Arapongas,-55.0%
54,54,54,Mensal,jan./2022,4101606,-58.62852,Arapoti,PR,1358.176,Arapoti,-59.0%
55,55,55,Mensal,mar./2022,4101606,-31.369345,Arapoti,PR,1358.176,Arapoti,-31.0%
56,56,56,Mensal,fev./2022,4101606,-44.942684,Arapoti,PR,1358.176,Arapoti,-45.0%
57,57,57,Mensal,jan./2022,4101655,-64.85212,Arapuã,PR,217.371,Arapua,-65.0%
58,58,58,Mensal,mar./2022,4101655,-2.3842342,Arapuã,PR,217.371,Arapua,-2.0%
59,59,59,Mensal,fev./2022,4101655,-55.318485,Arapuã,PR,217.371,Arapua,-55.0%
60,60,60,Mensal,jan./2022,4101705,-82.85158,Araruna,PR,493.191,Araruna,-83.0%
61,61,61,Mensal,mar./2022,4101705,-3.6082456,Araruna,PR,493.191,Araruna,-4.0%
62,62,62,Mensal,fev./2022,4101705,-59.395794,Araruna,PR,493.191,Araruna,-59.0%
63,63,63,Mensal,jan./2022,4101804,-94.281624,Araucária,PR,469.24,Araucaria,-94.0%
64,64,64,Mensal,mar./2022,4101804,-48.001225,Araucária,PR,469.24,Araucaria,-48.0%
65,65,65,Mensal,fev./2022,4101804,-65.101524,Araucária,PR,469.24,Araucaria,-65.0%
66,66,66,Mensal,jan./2022,4101853,-67.54076,Ariranha do Ivaí,PR,239.562,Ariranha Do Ivai,-68.0%
67,67,67,Mensal,mar./2022,4101853,-8.969883,Ariranha do Ivaí,PR,239.562,Ariranha Do Ivai,-9.0%
68,68,68,Mensal,fev./2022,4101853,-51.892357,Ariranha do Ivaí,PR,239.562,Ariranha Do Ivai,-52.0%
69,69,69,Mensal,jan./2022,4101903,-75.109535,Assaí,PR,440.347,Assai,-75.0%
70,70,70,Mensal,mar./2022,4101903,-22.549383,Assaí,PR,440.347,Assai,-23.0%
71,71,71,Mensal,fev./2022,4101903,-54.244526,Assaí,PR,440.347,Assai,-54.0%
72,72,72,Mensal,jan./2022,4102000,-56.39118,Assis Chateaubriand,PR,980.727,Assis Chateaubriand,-56.0%
73,73,73,Mensal,mar./2022,4102000,-34.35606,Assis Chateaubriand,PR,980.727,Assis Chateaubriand,-34.0%
74,74,74,Mensal,fev./2022,4102000,-23.831572,Assis Chateaubriand,PR,980.727,Assis Chateaubriand,-24.0%
75,75,75,Mensal,jan./2022,4102109,-74.804955,Astorga,PR,434.792,Astorga,-75.0%
76,76,76,Mensal,mar./2022,4102109,44.52239,Astorga,PR,434.792,Astorga,45.0%
77,77,77,Mensal,fev./2022,4102109,-42.818153,Astorga,PR,434.792,Astorga,-43.0%
78,78,78,Mensal,jan./2022,4102208,-75.39514,Atalaia,PR,137.663,Atalaia,-75.0%
79,79,79,Mensal,mar./2022,4102208,0.7590707,Atalaia,PR,137.663,Atalaia,1.0%
80,80,80,Mensal,fev./2022,4102208,-51.658833,Atalaia,PR,137.663,Atalaia,-52.0%
81,81,81,Mensal,jan./2022,4102307,-93.86666,Balsa Nova,PR,348.926,Balsa Nova,-94.0%
82,82,82,Mensal,mar./2022,4102307,-7.746967,Balsa Nova,PR,348.926,Balsa Nova,-8.0%
83,83,83,Mensal,fev./2022,4102307,-61.303684,Balsa Nova,PR,348.926,Balsa Nova,-61.0%
84,84,84,Mensal,jan./2022,4102406,-81.93535,Bandeirantes,PR,445.192,Bandeirantes,-82.0%
85,85,85,Mensal,mar./2022,4102406,-10.065127,Bandeirantes,PR,445.192,Bandeirantes,-10.0%
86,86,86,Mensal,fev./2022,4102406,-59.409634,Bandeirantes,PR,445.192,Bandeirantes,-59.0%
87,87,87,Mensal,jan./2022,4102505,-70.13071,Barbosa Ferraz,PR,538.636,Barbosa Ferraz,-70.0%
88,88,88,Mensal,mar./2022,4102505,57.989754,Barbosa Ferraz,PR,538.636,Barbosa Ferraz,58.0%
89,89,89,Mensal,fev./2022,4102505,-51.849625,Barbosa Ferraz,PR,538.636,Barbosa Ferraz,-52.0%
90,90,90,Mensal,jan./2022,4102604,-71.76401,Barracão,PR,171.402,Barracao,-72.0%
91,91,91,Mensal,mar./2022,4102604,-18.190063,Barracão,PR,171.402,Barracao,-18.0%
92,92,92,Mensal,fev./2022,4102604,-35.879116,Barracão,PR,171.402,Barracao,-36.0%
93,93,93,Mensal,jan./2022,4102703,-80.31133,Barra do Jacaré,PR,115.855,Barra Do Jacare,-80.0%
94,94,94,Mensal,mar./2022,4102703,-47.264557,Barra do Jacaré,PR,115.855,Barra Do Jacare,-47.0%
95,95,95,Mensal,fev./2022,4102703,-54.037243,Barra do Jacaré,PR,115.855,Barra Do Jacare,-54.0%
96,96,96,Mensal,jan./2022,4102752,-58.544888,Bela Vista da Caroba,PR,148.107,Bela Vista Da Caroba,-59.0%
97,97,97,Mensal,mar./2022,4102752,21.101728,Bela Vista da Caroba,PR,148.107,Bela Vista Da Caroba,21.0%
98,98,98,Mensal,fev./2022,4102752,10.871907,Bela Vista da Caroba,PR,148.107,Bela Vista Da Caroba,11.0%
99,99,99,Mensal,jan./2022,4102802,-77.86262,Bela Vista do Paraíso,PR,242.689,Bela Vista Do Paraiso,-78.0%
100,100,100,Mensal,mar./2022,4102802,-13.257112,Bela Vista do Paraíso,PR,242.689,Bela Vista Do Paraiso,-13.0%
101,101,101,Mensal,fev./2022,4102802,-53.423943,Bela Vista do Paraíso,PR,242.689,Bela Vista Do Paraiso,-53.0%
102,102,102,Mensal,jan./2022,4102901,-75.23712,Bituruna,PR,1228.285,Bituruna,-75.0%
103,103,103,Mensal,mar./2022,4102901,-14.374624,Bituruna,PR,1228.285,Bituruna,-14.0%
104,104,104,Mensal,fev./2022,4102901,-35.695988,Bituruna,PR,1228.285,Bituruna,-36.0%
105,105,105,Mensal,jan./2022,4103008,-74.298615,Boa Esperança,PR,302.739,Boa Esperanca,-74.0%
106,106,106,Mensal,mar./2022,4103008,-15.045252,Boa Esperança,PR,302.739,Boa Esperanca,-15.0%
107,107,107,Mensal,fev./2022,4103008,-56.12135,Boa Esperança,PR,302.739,Boa Esperanca,-56.0%
108,108,108,Mensal,jan./2022,4103024,-77.334564,Boa Esperança do Iguaçu,PR,151.797,Boa Esperanca Do Iguacu,-77.0%
109,109,109,Mensal,mar./2022,4103024,0.46026534,Boa Esperança do Iguaçu,PR,151.797,Boa Esperanca Do Iguacu,0.0%
110,110,110,Mensal,fev./2022,4103024,-34.461906,Boa Esperança do Iguaçu,PR,151.797,Boa Esperanca Do Iguacu,-34.0%
111,111,111,Mensal,jan./2022,4103040,-81.13416,Boa Ventura de São Roque,PR,620.453,Boa Ventura De Sao Roque,-81.0%
112,112,112,Mensal,mar./2022,4103040,-3.8681645,Boa Ventura de São Roque,PR,620.453,Boa Ventura De Sao Roque,-4.0%
113,113,113,Mensal,fev./2022,4103040,-43.85952,Boa Ventura de São Roque,PR,620.453,Boa Ventura De Sao Roque,-44.0%
114,114,114,Mensal,jan./2022,4103057,-70.57488,Boa Vista da Aparecida,PR,266.173,Boa Vista Da Aparecida,-71.0%
115,115,115,Mensal,mar./2022,4103057,-1.3737582,Boa Vista da Aparecida,PR,266.173,Boa Vista Da Aparecida,-1.0%
116,116,116,Mensal,fev./2022,4103057,-23.17819,Boa Vista da Aparecida,PR,266.173,Boa Vista Da Aparecida,-23.0%
117,117,117,Mensal,jan./2022,4103107,-83.23709,Bocaiúva do Sul,PR,826.344,Bocaiuva Do Sul,-83.0%
118,118,118,Mensal,mar./2022,4103107,-51.066196,Bocaiúva do Sul,PR,826.344,Bocaiuva Do Sul,-51.0%
119,119,119,Mensal,fev./2022,4103107,-60.13948,Bocaiúva do Sul,PR,826.344,Bocaiuva Do Sul,-60.0%
120,120,120,Mensal,jan./2022,4103156,-68.582,Bom Jesus do Sul,PR,173.817,Bom Jesus Do Sul,-69.0%
121,121,121,Mensal,mar./2022,4103156,8.954075,Bom Jesus do Sul,PR,173.817,Bom Jesus Do Sul,9.0%
122,122,122,Mensal,fev./2022,4103156,-22.0666,Bom Jesus do Sul,PR,173.817,Bom Jesus Do Sul,-22.0%
123,123,123,Mensal,jan./2022,4103206,-80.99966,Bom Sucesso,PR,322.755,Bom Sucesso,-81.0%
124,124,124,Mensal,mar./2022,4103206,6.474096,Bom Sucesso,PR,322.755,Bom Sucesso,6.0%
125,125,125,Mensal,fev./2022,4103206,-57.858322,Bom Sucesso,PR,322.755,Bom Sucesso,-58.0%
126,126,126,Mensal,jan./2022,4103222,-75.31999,Bom Sucesso do Sul,PR,195.931,Bom Sucesso Do Sul,-75.0%
127,127,127,Mensal,mar./2022,4103222,-2.7612886,Bom Sucesso do Sul,PR,195.931,Bom Sucesso Do Sul,-3.0%
128,128,128,Mensal,fev./2022,4103222,-29.721514,Bom Sucesso do Sul,PR,195.931,Bom Sucesso Do Sul,-30.0%
129,129,129,Mensal,jan./2022,4103305,-81.93243,Borrazópolis,PR,334.378,Borrazopolis,-82.0%
130,130,130,Mensal,mar./2022,4103305,7.076237,Borrazópolis,PR,334.378,Borrazopolis,7.0%
131,131,131,Mensal,fev./2022,4103305,-38.987534,Borrazópolis,PR,334.378,Borrazopolis,-39.0%
132,132,132,Mensal,jan./2022,4103354,-63.970467,Braganey,PR,343.321,Braganey,-64.0%
133,133,133,Mensal,mar./2022,4103354,-10.492017,Braganey,PR,343.321,Braganey,-10.0%
134,134,134,Mensal,fev./2022,4103354,-48.88433,Braganey,PR,343.321,Braganey,-49.0%
135,135,135,Mensal,jan./2022,4103370,-69.43939,Brasilândia do Sul,PR,291.036,Brasilandia Do Sul,-69.0%
136,136,136,Mensal,mar./2022,4103370,-20.577337,Brasilândia do Sul,PR,291.036,Brasilandia Do Sul,-21.0%
137,137,137,Mensal,fev./2022,4103370,-39.696033,Brasilândia do Sul,PR,291.036,Brasilandia Do Sul,-40.0%
138,138,138,Mensal,jan./2022,4103404,-70.94084,Cafeara,PR,185.8,Cafeara,-71.0%
139,139,139,Mensal,mar./2022,4103404,0.050399695,Cafeara,PR,185.8,Cafeara,0.0%
140,140,140,Mensal,fev./2022,4103404,-41.11705,Cafeara,PR,185.8,Cafeara,-41.0%
141,141,141,Mensal,jan./2022,4103453,-61.48212,Cafelândia,PR,271.724,Cafelandia,-61.0%
